Event	ID	Name			Wwise Object Path	Notes
	2290215810	MusicMenu_stop			\Default Work Unit\Music\MusicMenu_stop	
	4082046343	MusicMenu			\Default Work Unit\Music\MusicMenu	

In Memory Audio	ID	Name	Audio source file		Wwise Object Path	Notes	Data Size
	2430815	ROST-Menu-A-Sample_2	Y:\Documents\GitHub\soulstone_wwise\Rogue-Knockout-WwiseProject\.cache\Windows\SFX\A\ROST-Menu-A-Sample_2_80D12913.wem		\Interactive Music Hierarchy\Default Work Unit\IngameMusic\MenuMusic\A\ROST-Menu-A-Sample_2		191302
	14083357	ROST-Menu-Chors-I-FX	Y:\Documents\GitHub\soulstone_wwise\Rogue-Knockout-WwiseProject\.cache\Windows\SFX\Chorus-I\ROST-Menu-Chors-I-FX_80D12913.wem		\Interactive Music Hierarchy\Default Work Unit\IngameMusic\MenuMusic\Chorus-I\ROST-Menu-Chors-I-FX		39568
	41589694	ROST-Menu-Chors-II-Bass	Y:\Documents\GitHub\soulstone_wwise\Rogue-Knockout-WwiseProject\.cache\Windows\SFX\Chorus-II\ROST-Menu-Chors-II-Bass_80D12913.wem		\Interactive Music Hierarchy\Default Work Unit\IngameMusic\MenuMusic\Chorus-II\ROST-Menu-Chors-II-Bass		208247
	46414060	ROST-Menu-Chors-II-Perc-Hi_2	Y:\Documents\GitHub\soulstone_wwise\Rogue-Knockout-WwiseProject\.cache\Windows\SFX\Chorus-II\ROST-Menu-Chors-II-Perc-Hi_2_80D12913.wem		\Interactive Music Hierarchy\Default Work Unit\IngameMusic\MenuMusic\Chorus-II\ROST-Menu-Chors-II-Perc-Hi_2		211797
	79663800	ROST-Menu-A-Sample_3	Y:\Documents\GitHub\soulstone_wwise\Rogue-Knockout-WwiseProject\.cache\Windows\SFX\A\ROST-Menu-A-Sample_3_80D12913.wem		\Interactive Music Hierarchy\Default Work Unit\IngameMusic\MenuMusic\A\ROST-Menu-A-Sample_3		49536
	102475606	ROST-Menu-Chors-II-Orch-Flutes	Y:\Documents\GitHub\soulstone_wwise\Rogue-Knockout-WwiseProject\.cache\Windows\SFX\Chorus-II\ROST-Menu-Chors-II-Orch-Flutes_80D12913.wem		\Interactive Music Hierarchy\Default Work Unit\IngameMusic\MenuMusic\Chorus-II\ROST-Menu-Chors-II-Orch-Flutes		130936
	135403226	ROST-Menu-B-Perc-Drums_1	Y:\Documents\GitHub\soulstone_wwise\Rogue-Knockout-WwiseProject\.cache\Windows\SFX\B\ROST-Menu-B-Perc-Drums_1_80D12913.wem		\Interactive Music Hierarchy\Default Work Unit\IngameMusic\MenuMusic\B\ROST-Menu-B-Perc-Drums_1		250786
	157763673	ROST-Menu-A-Perc-Hi	Y:\Documents\GitHub\soulstone_wwise\Rogue-Knockout-WwiseProject\.cache\Windows\SFX\A\ROST-Menu-A-Perc-Hi_80D12913.wem		\Interactive Music Hierarchy\Default Work Unit\IngameMusic\MenuMusic\A\ROST-Menu-A-Perc-Hi		204435
	177408516	ROST-Menu-C-DR-HH	Y:\Documents\GitHub\soulstone_wwise\Rogue-Knockout-WwiseProject\.cache\Windows\SFX\C\ROST-Menu-C-DR-HH_80D12913.wem		\Interactive Music Hierarchy\Default Work Unit\IngameMusic\MenuMusic\C\ROST-Menu-C-DR-HH		187948
	191042169	ROST-Menu-Chors-I-Synth	Y:\Documents\GitHub\soulstone_wwise\Rogue-Knockout-WwiseProject\.cache\Windows\SFX\Chorus-I\ROST-Menu-Chors-I-Synth_80D12913.wem		\Interactive Music Hierarchy\Default Work Unit\IngameMusic\MenuMusic\Chorus-I\ROST-Menu-Chors-I-Synth		297497
	263410939	ROST-Menu-Chors-II-Synth	Y:\Documents\GitHub\soulstone_wwise\Rogue-Knockout-WwiseProject\.cache\Windows\SFX\Chorus-II\ROST-Menu-Chors-II-Synth_80D12913.wem		\Interactive Music Hierarchy\Default Work Unit\IngameMusic\MenuMusic\Chorus-II\ROST-Menu-Chors-II-Synth		281320
	271649772	ROST-Menu-Chors-I-DR-KK	Y:\Documents\GitHub\soulstone_wwise\Rogue-Knockout-WwiseProject\.cache\Windows\SFX\Chorus-I\ROST-Menu-Chors-I-DR-KK_80D12913.wem		\Interactive Music Hierarchy\Default Work Unit\IngameMusic\MenuMusic\Chorus-I\ROST-Menu-Chors-I-DR-KK		62940
	273969137	ROST-Menu-Chors-I-Perc-Hi_1	Y:\Documents\GitHub\soulstone_wwise\Rogue-Knockout-WwiseProject\.cache\Windows\SFX\Chorus-I\ROST-Menu-Chors-I-Perc-Hi_1_80D12913.wem		\Interactive Music Hierarchy\Default Work Unit\IngameMusic\MenuMusic\Chorus-I\ROST-Menu-Chors-I-Perc-Hi_1		219776
	332669294	ROST-Menu-A-DR-KK	Y:\Documents\GitHub\soulstone_wwise\Rogue-Knockout-WwiseProject\.cache\Windows\SFX\A\ROST-Menu-A-DR-KK_80D12913.wem		\Interactive Music Hierarchy\Default Work Unit\IngameMusic\MenuMusic\A\ROST-Menu-A-DR-KK		21810
	345854236	ROST-Menu-Chors-I-Perc-Drums_1	Y:\Documents\GitHub\soulstone_wwise\Rogue-Knockout-WwiseProject\.cache\Windows\SFX\Chorus-I\ROST-Menu-Chors-I-Perc-Drums_1_80D12913.wem		\Interactive Music Hierarchy\Default Work Unit\IngameMusic\MenuMusic\Chorus-I\ROST-Menu-Chors-I-Perc-Drums_1		217849
	360631505	ROST-Menu-C-DR-KK	Y:\Documents\GitHub\soulstone_wwise\Rogue-Knockout-WwiseProject\.cache\Windows\SFX\C\ROST-Menu-C-DR-KK_80D12913.wem		\Interactive Music Hierarchy\Default Work Unit\IngameMusic\MenuMusic\C\ROST-Menu-C-DR-KK		69830
